filename,公司全称,公司简称,公司代码,公告名称,落款日期,业绩分类,审计机构,签字会计师,审计意见,"审计费用（万元）/
会计师事务所报酬",营业收入（单位：元）-本期数据,营业收入（单位：元）-上期数据,营业收入（单位：元）-同比变动比例（%）,"归属于上市公司股东的净利润
（单位：元）-本期数据","归属于上市公司股东的净利润
（单位：元）-上期数据","归属于上市公司股东的净利润
（单位：元）-同比变动比例（%）",归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-本期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-上期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-同比变动比例（%）,"总资产/资产总额
（单位：元）-本期数据","总资产/资产总额
（单位：元）-上期数据","总资产/资产总额
（单位：元）-同比变动比例（%）","归属于上市公司股东的净资产
（单位：元）-本期数据","归属于上市公司股东的净资产
（单位：元）-上期数据","归属于上市公司股东的净资产
（单位：元）-同比变动比例（%）",经营活动产生的现金流量净额-本期数据,经营活动产生的现金流量净额-上期数据,经营活动产生的现金流量净额-同比变动比例（%）,基本每股收益（元／股）-本期数据,基本每股收益（元／股）-上期数据,基本每股收益（元／股）-同比变动比例（%）,加权平均净资产收益率（%）-本期数据,加权平均净资产收益率（%）-上期数据,加权平均净资产收益率（%）-同比变动比例（%）,资产负债率,目录,利润分配预案/利润分配方案,语言,精排,篇幅页码,字数,净利润（本期数据）,净利润（上期数据）,本期数据,上期数据,同比变动比例（%）,负债合计（本期数据）,负债和所有者权益（或股东权益）总计（本期数据）,董事会决议通过的本报告期利润分配预案或公积金转增股本预案,经本次董事会审议通过的利润分配预案为：,年度利润分配方案如下：
145992588_2025-10-14_2025年第三季度报告.pdf,浙江中国小商品城集团股份有限公司,小商品城,600415,浙江中国小商品城集团股份有限公司2025年第三季度报告,2025-10-15,同比增长,未找到,未找到,未找到,未找到,"5,348,330,787.38","13,061,129,917.64",39.02,"1,766,376,648.77","3,457,312,925.46",100.52,"1,723,498,723.39","3,391,673,045.10",99.56,"45,298,498,791.54","39,168,460,647.21",15.65,"22,184,712,232.78","20,503,756,457.46",8.20,不适用,"9,605,196,694.05",不适用,0.32,0.63,100.00,7.93,15.96,增加 3.48 个百分点,51.25%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表;母公司资产负债表;母公司利润表;母公司现金流量表,未找到,中文,否,14,13658,"3,464,643,934.19","2,331,992,676.03","3,464,643,934.19","2,331,992,676.03",48.56,"23,037,796,752.34","45,298,498,791.54",未找到,未找到,未找到
145992846_2025-10-14_2025年第三季度报告.pdf,南京我乐家居股份有限公司,我乐家居,603326,2025年第三季度报告,2025-10-15,同比增长,未找到,未找到,未找到,未找到,"385,909,349.69","1,055,084,798.78",2.84,"45,370,100.67","137,680,216.00",29.20,"44,497,911.74","120,386,698.74",37.96,"2,024,487,169.12","2,501,670,016.59",-19.07,"1,146,422,582.53","1,215,722,196.03",-5.70,"-11,457,272.90","-11,457,272.90",不适用,0.1422,0.4314,27.65,4.01,11.58,增加1.06个百分点,43.58%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,13,9513,"137,680,216.00","80,550,407.23","137,680,216.00","80,550,407.23",70.92,"878,064,586.59","2,024,487,169.12",未找到,未找到,未找到
145994467_2025-10-15_浙江九洲药业股份有限公司2025年第三季度报告.pdf,浙江九洲药业股份有限公司,九洲药业,603456,浙江九洲药业股份有限公司2025年第三季度报告,2025-10-16,同比增长,未找到,未找到,未找到,未找到,"1,289,540,392.43","1,259,540,392.43",7.37,"221,821,465.85","162,821,465.85",42.30,"220,087,823.44","152,087,823.44",46.42,"10,718,737,487.85","11,127,254,062.84",-3.67,"8,755,178,673.48","8,536,673,816.75",2.56,"1,342,005,039.49","654,028,177.61",105.19,0.25,0.18,47.06,2.53,8.57,增加0.69个百分点,74.86%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,13,9944,"748,674,344.04","632,852,491.81","748,674,344.04","632,852,491.81",18.28,"1,894,528,281.50","10,718,737,487.85",未找到,未找到,未找到
145994671_2025-10-15_高能环境2025年第三季度报告.pdf,北京高能时代环境技术股份有限公司,高能环境,603588,北京高能时代环境技术股份有限公司 2025 年第三季度报告,2025-10-15,同比增长,未找到,未找到,未找到,未找到,"3,459,664,749.30","10,159,689,969.92",-11.41,"143,689,798.57","646,110,281.18",-1.05,"145,093,322.84","599,582,818.74",177.01,"27,160,911,522.69","27,267,773,417.21",-0.39,"9,578,180,606.50","9,046,113,014.92",5.88,"20,379,888.95","366,964,953.24",67.29,0.095,0.424,-3.06,1.492,6.896,增加 0.01 个百分点,61.68%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,11,9216,"777,463,454.04","647,896,419.64","777,463,454.04","647,896,419.64",19.99,"16,723,779,511.23","27,160,911,522.69",未找到,未找到,未找到
145994895_2025-10-15_海光信息技术股份有限公司2025年第三季度报告.pdf,海光信息技术股份有限公司,海光信息,688041,海光信息技术股份有限公司2025年第三季度报告,2025-10-16,同比增长,未找到,未找到,未找到,未找到,"4,025,739,773.97","9,489,974,831.12",69.60,"759,994,598.37","1,961,446,439.52",13.04,"726,691,836.97","1,816,705,304.64",10.56,"33,181,689,668.68","28,559,492,036.59",16.18,"21,896,739,155.59","20,250,959,179.95",8.13,不适用,"2,254,504,302.55",不适用,0.33,0.85,13.79,3.61,9.30,增加 0.07 个百分点,74.86%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,12,9541,"2,840,528,700.64","2,106,819,573.58","2,840,528,700.64","2,106,819,573.58",34.83,"8,004,865,287.04","33,181,689,668.68",未找到,未找到,未找到
145995665_2025-10-15_2025年第三季度报告.pdf,成都秦川物联网科技股份有限公司,秦川物联,688528,成都秦川物联网科技股份有限公司 2025 年第三季度报告,2025-10-16,亏损,未找到,未找到,未找到,未找到,"91,519,055.49","219,090,333.01",26.41,"-9,034,232.39","-69,899,142.81",不适用,"-10,174,143.20","-71,384,329.94",不适用,"850,846,549.54","907,995,626.34",-6.29,"495,940,565.25","545,462,109.62",-9.08,"33,095,221.78","-12,666,145.13",不适用,-0.05,-0.44,不适用,-1.81,-13.63,增加 1.91 个百分点,41.55%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表;母公司资产负债表;母公司利润表;母公司现金流量表,未找到,中文,否,20,14100,"-69,854,247.01","-41,483,669.21","-69,854,247.01","-41,483,669.21",不适用,"353,476,635.25","850,846,549.54",未找到,未找到,未找到
145996272_2025-10-15_江西国光商业连锁股份有限公司2025年第三季度报告.pdf,江西国光商业连锁股份有限公司,国光连锁,605188,江西国光商业连锁股份有限公司2025年第三季度报告,2025-10-15,亏损,未找到,未找到,未找到,未找到,"685,372,289.04","2,133,760,157.44",-0.29,"-8,412,316.01","11,485,617.85",不适用,"-11,159,437.55","2,661,025.79",不适用,"2,792,762,490.08","2,670,147,856.33",4.59,"1,179,985,475.63","1,118,404,021.59",5.51,不适用,"185,133,473.18",不适用,-0.0168,0.0231,40.00,-0.72,1.00,增加0.27个百分点,57.86%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,13,8746,"-8,412,316.01","11,485,617.85","-8,412,316.01","11,485,617.85",不适用,"1,612,777,014.45","2,792,762,490.08",未找到,未找到,未找到
145996555_2025-10-16_航天发展：2025年半年度报告.PDF,航天工业发展股份有限公司,航天发展,000547,2025年半年度报告,2025-08-22,亏损,致同会计师事务所（特殊普通合伙）,未找到,未找到,未找到,"689,123,003.44","864,149,516.84",-20.25%,"-378,363,483.93","-363,623,739.49",-4.05%,"-386,338,262.50","-380,447,942.38",-1.55%,"10,661,255,771.27","11,338,738,911.98",-5.97%,"4,811,894,365.70","5,188,954,276.93",-7.27%,"-229,003,326.31","-304,795,748.85",24.87%,-0.24,-0.23,-4.35%,-7.57%,-5.44%,下降2.13个百分点,50.54%,第一节 重要提示、目录和释义;第二节 公司简介和主要财务指标;第三节 管理层讨论与分析;第四节 公司治理、环境和社会;第五节 重要事项;第六节 股份变动及股东情况;第七节 债券相关情况;第八节 财务报告;第九节 其他报送数据,公司计划不派发现金红利，不送红股，不以公积金转增股本。,中文,是,156,120978,"-425,909,228.26","-398,028,062.23","-425,909,228.26","-398,028,062.23",未找到,"5,054,417,563.30","10,661,255,771.27",公司计划不派发现金红利，不送红股，不以公积金转增股本。,公司计划不派发现金红利，不送红股，不以公积金转增股本。,公司计划不派发现金红利，不送红股，不以公积金转增股本。
145996583_2025-10-16_国邦医药2025年第三季度报告.pdf,国邦医药集团股份有限公司,国邦医药,605507,国邦医药集团股份有限公司 2025 年第三季度报告,2025-10-16,同比增长,未找到,未找到,未找到,未找到,"1,443,600,615.04","4,469,884,398.26",-5.39,"214,673,050.42","670,242,636.55",23.17,"183,153,980.32","619,188,714.53",7.87,"10,579,382,838.97","10,780,436,167.58",-1.86,"8,271,649,874.93","8,047,340,282.19",2.79,"405,510,368.70","32,877,901.61","1,133.38",0.39,1.21,25.81,2.63,8.24,增加 0.36 个百分点,74.86%,一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表;合并资产负债表;合并利润表;合并现金流量表,未找到,中文,否,11,8692,"667,887,425.77","578,638,198.06","667,887,425.77","578,638,198.06",15.43,"2,304,107,474.38","10,579,382,838.97",未找到,未找到,未找到
145996607_2025-10-16_航天发展：2025年半年度报告.pdf,航天工业发展股份有限公司,航天发展,000547,2025年半年度报告,2025-08-22,亏损,致同会计师事务所（特殊普通合伙）,未找到,未找到,未找到,"689,123,003.44","864,149,516.84",-20.25%,"-378,363,483.93","-363,623,739.49",-4.05%,"-386,338,262.50","-380,447,942.38",-1.55%,"10,661,255,771.27","11,338,738,911.98",-5.97%,"4,811,894,365.70","5,188,954,276.93",-7.27%,"-229,003,326.31","-304,795,748.85",24.87%,-0.24,-0.23,-4.35%,-7.57%,-5.44%,下降2.13个百分点,50.54%,第一节 重要提示、目录和释义;第二节 公司简介和主要财务指标;第三节 管理层讨论与分析;第四节 公司治理、环境和社会;第五节 重要事项;第六节 股份变动及股东情况;第七节 债券相关情况;第八节 财务报告;第九节 其他报送数据,公司计划不派发现金红利，不送红股，不以公积金转增股本。,中文,是,156,121350,"-425,909,228.26","-398,028,062.23","-378,363,483.93","-363,623,739.49",-4.05%,"5,054,417,563.30","10,661,255,771.27",公司计划不派发现金红利，不送红股，不以公积金转增股本。,公司计划不派发现金红利，不送红股，不以公积金转增股本。,公司计划不派发现金红利，不送红股，不以公积金转增股本。
